category,english_name,english_description,image_url,prompt,german_name,german_description
Begriffe,Causes of Origin are Unknown,"A man in a white coat grabs his head. In front of him stands a young woman with a puzzled look. In one thought bubble of the man, the woman is shown with a rash and tomatoes. In the second thought bubble, she is shown with a rash when exposed to sunlight.",https://www.lag-sb-rlp.de/images/phocagallery/Erkrankung/thumbs/phoca_thumb_l_a84-entstehungsursachen-sind-unbekannt-cmyk.jpg,"Cartoon picture of Causes of Origin are Unknown - A man in a white coat grabs his head. In front of him stands a young woman with a puzzled look. In one thought bubble of the man, the woman is shown with a rash and tomatoes. In the second thought bubble, she is shown with a rash when exposed to sunlight.",Entstehungsursachen sind unbekannt,Ein Mann im weissen Kittel greift sich an den Kopf. Vor ihm steht eine junge Frau mit ratlosem Blick. In der einen Gedankenblase des Mannes sieht man die Frau mit einem Hautausschlag und Tomaten. In der zweiten Gedankenblase sieht man sie bei Sonneneinstrahlung mit Hautausschlag.
Beratung und Information,Consultation Center,"In the foreground, two women are sitting at the table. One woman is in a wheelchair and filling out a form. The other woman also wants to fill out a form. In the background, there is a building with the inscription 'Advice Center'.",https://www.lag-sb-rlp.de/images/phocagallery/Gesundheitsfoerderung/thumbs/phoca_thumb_l_d_49beratungszentrumneu2.jpg,"Cartoon picture of Consultation Center - In the foreground, two women are sitting at the table. One woman is in a wheelchair and filling out a form. The other woman also wants to fill out a form. In the background, there is a building with the inscription 'Advice Center'.",Beratungszentrum,Im Vordergrund sitzen zwei Frauen am Tisch. Eine Frau sitzt im Rollstuhl und fuellt ein Formular aus. Die andere Frau will ebenfalls ein Forumular ausfuellen. Im Hintergrund steht ein Gebaeude mit der Aufschrift Beratungszentrum.
Beratung und Information,Study on Research Findings,"A notebook is open. On the left side, test tubes can be seen, into which a liquid is poured. On the right side, a chemical compound is depicted.",https://www.lag-sb-rlp.de/images/phocagallery/Selbsthilfe/thumbs/phoca_thumb_l_e68-studie-forschungsergebnisse-transparent.jpg,"Cartoon picture of Study on Research Findings - A notebook is open. On the left side, test tubes can be seen, into which a liquid is poured. On the right side, a chemical compound is depicted.",Studie zu Forschungsergebnissen,"Ein Heft ist aufgeschlagen. Auf der linken Seite sieht man Reagenzglaeser, in die eine Fluessigkeit gefuellt wird. Auf der rechten Seite ist eine chemische Verbindung abgebildet."
Beratung und Information,Health Information,"A brochure is being held by a person. It bears the title 'Info', below which a virus and two different bacteria are drawn.",https://www.lag-sb-rlp.de/images/phocagallery/Selbsthilfe/thumbs/phoca_thumb_l_e47-gesundheitsinformation-cmyk.jpg,"Cartoon picture of Health Information - A brochure is being held by a person. It bears the title 'Info', below which a virus and two different bacteria are drawn.",Gesundheitsinformation,"Ein Faltblatt wird von einer Person gehalten. Es traegt den Titel ""Info"", darunter sind ein Virus und zwei verschiedene Bakterien eingezeichnet."
Beratung und Information,Nutritional Counseling,"A man is informing a woman and a man about healthy nutrition. He is holding up a banana. On the table, there are other food items.",https://www.lag-sb-rlp.de/images/phocagallery/Selbsthilfe/thumbs/phoca_thumb_l_e87-ernaehrungsberatung-cmyk.jpg,"Cartoon picture of Nutritional Counseling - A man is informing a woman and a man about healthy nutrition. He is holding up a banana. On the table, there are other food items.",Ernaehrungsberatung,Ein Mann informiert eine Frau und einen Mann ueber gesunde Ernaehrung. Er haelt dazu eine Banane hoch. Auf dem Tisch liegen weitere Nahrungsmittel.
Beratung und Information,Information Material,A woman hands over a brochure to a man.,https://www.lag-sb-rlp.de/images/phocagallery/Selbsthilfe/thumbs/phoca_thumb_l_e73-informationsmaterial-cmyk.jpg,Cartoon picture of Information Material - A woman hands over a brochure to a man.,Informationsmaterial,Eine Frau uebergibt ein Faltblatt an einen Mann.
Gesundheitsbezogene Selbsthilfe,Self-Help Group,Four persons are sitting in a circle of chairs. They partly have a prosthesis and are discussing the topic of prostheses.,https://www.lag-sb-rlp.de/images/phocagallery/Selbsthilfe/thumbs/phoca_thumb_l_e-67-selbsthilfegruppe-cmyk.jpg,Cartoon picture of Self-Help Group - Four persons are sitting in a circle of chairs. They partly have a prosthesis and are discussing the topic of prostheses.,Selbsthilfegruppe,Vier Personen sitzen im Stuhlkreis. Sie haben teilweise eine Prothese und unterhalten sich ueber das Thema Prothesen.
Gesundheitsbezogene Selbsthilfe,Doctor's Lecture,A man in a white lab coat is speaking to a group of people. He points with a pen to a graph seen on the paper of a flip chart. A participant raises her hand.,https://www.lag-sb-rlp.de/images/phocagallery/Selbsthilfe/thumbs/phoca_thumb_l_e109-arztvortrag-cmyk.jpg,Cartoon picture of Doctor's Lecture - A man in a white lab coat is speaking to a group of people. He points with a pen to a graph seen on the paper of a flip chart. A participant raises her hand.,Arztvortrag,"Ein Mann in weissem Arztkittel spricht vor einer Gruppe von Menschen. Er zeigt mit einem Stift auf eine Verlaufskurve, die auf dem Papier einer Flipchart zu sehen ist. Eine Teilnehmerin meldet sich."
Gesundheitsbezogene Selbsthilfe,Self-Help Association,"Depicted is a map of Germany colored black, red, and gold. At various points on the map, speech bubbles are depicted containing logos of various state working groups, such as the LAG Self-help Rhineland-Palatinate or Bavaria, as well as the Federal Self-Help Working Group. The speech bubbles are connected to each other by a blue line.",https://www.lag-sb-rlp.de/images/phocagallery/Selbsthilfe/thumbs/phoca_thumb_l_selbsthilfeverband-2-cmyk.jpg,"Cartoon picture of Self-Help Association - Depicted is a map of Germany colored black, red, and gold. At various points on the map, speech bubbles are depicted containing logos of various state working groups, such as the LAG Self-help Rhineland-Palatinate or Bavaria, as well as the Federal Self-Help Working Group. The speech bubbles are connected to each other by a blue line.",Selbsthilfeverband,"Abgebildet ist eine Deutschlandkarte, die schwarz, rot und gold eingefaerbt ist. An verschiedenen Stellen auf der Karte sind Sprechblasen abgebildet, in denen sich Logos von verschiedenen Landesarbeitsgemeinschaften, wie der LAG Selbsthilfe Rheinland-Pfalz oder Bayern, aber auch der Bundesarbeitsgemeinschaft Selbsthilfe befinden. Die Sprechblasen sind untereinander durch eine blaue Linie verbunden."
Gesundheitsbezogene Selbsthilfe,Self-Help Group for Relatives,"Four adults are sitting in a circle of chairs. A man is speaking. In his speech bubble, a child with Down syndrome is depicted. In the thought bubbles of the other persons, there is also a child with Down syndrome depicted in each.",https://www.lag-sb-rlp.de/images/phocagallery/Selbsthilfe/thumbs/phoca_thumb_l_e66-selbsthilfegruppe-fuer-angehoerige-cmyk.jpg,"Cartoon picture of Self-Help Group for Relatives - Four adults are sitting in a circle of chairs. A man is speaking. In his speech bubble, a child with Down syndrome is depicted. In the thought bubbles of the other persons, there is also a child with Down syndrome depicted in each.",Selsbthilfegruppe fuer Angehoerige,Vier Erwachsene sitzen im Stuhlkreis. Ein Mann spricht. In seiner Sprechblase ist ein Kind mit Downsyndrom abgebildet. In den Gedankenblasen der anderen Personen sind auch jeweils ein Kind mit Downsyndrom abgebildet.
Gesundheitsbezogene Selbsthilfe,Parents' Circle,"In a circle of chairs, three couples are sitting and chatting. In the front corner, four children are playing with toy cars.",https://www.lag-sb-rlp.de/images/phocagallery/Selbsthilfe/thumbs/phoca_thumb_l_e111-elternkreis-cmyk.jpg,"Cartoon picture of Parents' Circle - In a circle of chairs, three couples are sitting and chatting. In the front corner, four children are playing with toy cars.",Elternkreis,In einem Stuhlkreis sitzen drei Paare und unterhalten sich. In der vorderen Ecke spielen vier Kinder mit Spielzeugautos.
Kognitive Faehigkeiten/Zustand,Difficulty Concentrating,"A man ties his sports shoes. He has several thought bubbles. He is simultaneously thinking about a young woman, tying shoes, a piece of cake and a cup of tea, and a woman comforting a man. He also thinks about a footballer and an older man.",https://www.lag-sb-rlp.de/images/phocagallery/Faehigkeiten/thumbs/phoca_thumb_l_c40-konzentrationsschwierigkeiten-cmyk.jpg,"'Cartoon picture of Difficulty Concentrating - A man ties his sports shoes. He has several thought bubbles. He is simultaneously thinking about a young woman, tying shoes, a piece of cake and a cup of tea, and a woman comforting a man. He also thinks about a footballer and an older man.",Konzentrationsschwierigkeiten,Eine junge Dame verletzt sich selbst am unteren Handgelenk mit einer Rasierklinke. Sie hat einen depressiven Gesichtsausdruck. 
Kognitive Faehigkeiten/Zustand,Empathy,A woman puts a comforting hand on a man's shoulder. The man covers his face with his hand and cries.,https://www.lag-sb-rlp.de/images/phocagallery/Faehigkeiten/thumbs/phoca_thumb_l_c41-einfhlungsvermgen-cmyk.jpg,Cartoon picture of Empathy - A woman puts a comforting hand on a man's shoulder. The man covers his face with his hand and cries.,Einfuehlungsvermoegen,"Ein Mann bindet sich die Sportschuhe. Er hat mehrere Gedankenblasen. Er denkt gleichzeitig an eine junge Frau, an das Schuhebinden, an ein Stueck Kuchen und eine Tasse Tee und an eine Frau, die einen Mann troestet. Zudem denkt er an einen Fussballer und einen aelteren Mann."
Kognitive Faehigkeiten/Zustand,Poor Memory Performance,A woman holds her forehead thoughtfully. Question marks can be seen in her thought bubble and above her head.,https://www.lag-sb-rlp.de/images/phocagallery/Faehigkeiten/thumbs/phoca_thumb_l_c45-schlechte-gedchtnisleistung-cmyk.jpg,Cartoon picture of Poor Memory Performance - A woman holds her forehead thoughtfully. Question marks can be seen in her thought bubble and above her head.,Schlechte Gedaechtnisleistung,Eine Frau haelt sich nachdenklich die Stirn. In ihrer Gedankenblase und ueber ihrem Kopf sind Fragezeichen zu sehen.
Kognitive Faehigkeiten/Zustand,Being Deaf,Depicted are two persons facing each other. One person is communicating in sign language.,https://www.lag-sb-rlp.de/images/phocagallery/Faehigkeiten/thumbs/phoca_thumb_l_gehoerlos-cmyk.jpg,Cartoon picture of Being Deaf - Depicted are two persons facing each other. One person is communicating in sign language.,Gehoerlos sein,Abgebildet sind zwei Personen die einander zugewandt stehen. Die eine Person kommuniziert in Gebaerdensprache.
Kognitive Faehigkeiten/Zustand,Being Blind,Depicted is a man holding a long cane in his hand.,https://www.lag-sb-rlp.de/images/phocagallery/Faehigkeiten/thumbs/phoca_thumb_l_blind-cmyk.jpg,Cartoon picture of Being Blind - Depicted is a man holding a long cane in his hand.,Blind sein,"Abgebildet ist ein Mann, der einen Langstock in der Hand haelt."
Vereinsarbeit,Exchange on the Internet,"In the middle, there is a globe depicted. Around it, there are 6 individuals depicted, each working on a laptop or computer. They are all interconnected.",https://www.lag-sb-rlp.de/images/phocagallery/Selbsthilfe/thumbs/phoca_thumb_l_e113-austausch-internet-cmyk.jpg,"Cartoon picture of Exchange on the Internet - In the middle, there is a globe depicted. Around it, there are 6 individuals depicted, each working on a laptop or computer. They are all interconnected.",Austausch im Internet,"In der Mitte ist eine Weltkugel abgebildet. Aussenrum sind 6 Einzelpersonen abgebildet, die jeweils an einem Laptop oder Computer arbeiten. Sie sind alle miteinander verbunden."
Vereinsarbeit,Board Meeting,Two men and a woman are sitting at a table and talking. One man has a hearing aid and is typing on a laptop. The woman wears an arm prosthesis.,https://www.lag-sb-rlp.de/images/phocagallery/Vereinsarbeit/thumbs/phoca_thumb_l_vorstands-sitzung-cmyk.jpg,Cartoon picture of Board Meeting - Two men and a woman are sitting at a table and talking. One man has a hearing aid and is typing on a laptop. The woman wears an arm prosthesis.,Vorstandssitzung,Zei Maenner und eine Frau sitzen an einem Tisch und unterhalten sich. Ein Mann hat ein Hoergeraet und tippt in einen Laptop. Die Frau traegt eine Armprothese.
Vereinsarbeit,Membership Fee,A transfer form is depicted. The amount '18 euros' and the purpose 'Membership fee' are handwritten.,https://www.lag-sb-rlp.de/images/phocagallery/Selbsthilfe/thumbs/phoca_thumb_l_e52-mitgliedsbeitrag-cmyk.jpg,Cartoon picture of Membership Fee - A transfer form is depicted. The amount '18 euros' and the purpose 'Membership fee' are handwritten.,Mitgliedsbeitrag,"Ein Ueberweisungstraeger ist abgebildet. Handschriftlich wird der Betrag ""18 Euro"" und der Verwendungszweck ""Mitgliedsbeitrag"" eingetragen."
Vereinsarbeit,Project Financing,"On the left side of the picture is a project proposal for 20,000.00 euros. To the right of it are 6 100-euro bills.",https://www.lag-sb-rlp.de/images/phocagallery/thumbs/phoca_thumb_l_projektfinanzierung-rgb.jpg,"Cartoon picture of Project Financing - On the left side of the picture is a project proposal for 20,000.00 euros. To the right of it are 6 100-euro bills.",Projektfinanzierung,"Links im Bild ist ein Projekt-Antrag auf 20.000,00 Euro. Rechts daneben sind 6 100-Eruo-Scheine. "
Vereinsarbeit,Application,The arms of two persons are recognizable. One person is pointing to the word 'Application' written on top of a document. The other person is holding a pen ready to write.,https://www.lag-sb-rlp.de/images/phocagallery/Gesundheitsfoerderung/thumbs/phoca_thumb_l_d22-antrag-cmyk.jpg,Cartoon picture of Application - The arms of two persons are recognizable. One person is pointing to the word 'Application' written on top of a document. The other person is holding a pen ready to write.,Antrag,"Zu erkennen sind die Arme von zwei Personen. Die eine Person zeigt auf das Wort ""Antrag"", das oben auf einem Dokument steht. Die andere Person haelt einen Stift zum Schreiben bereit."
Koerper,Large and Small Intestines and Stomach,"The organs large intestine, small intestine, and stomach are depicted.",https://www.lag-sb-rlp.de/images/phocagallery/thumbs/phoca_thumb_l_verdauung-detail-cmyk.jpg,"Cartoon picture of Large and Small Intestines and Stomach - The organs large intestine, small intestine, and stomach are depicted.",Dick- und Duenndarm und Magen,"Die Organe Dickdarm, Duenndarm und Magen sind abgebildet."
Koerper,Digestive Tract,Illustration of a naked man. The small and large intestines and the stomach are drawn.,https://www.lag-sb-rlp.de/images/phocagallery/Organe und Körperteile/thumbs/phoca_thumb_l_verdauung-cmyk.jpg,Cartoon picture of Digestive Tract - Illustration of a naked man. The small and large intestines and the stomach are drawn.,Verdauungstrakt,Abbildung von einem nackten Mann. Der Dick- und Duenndarm sowie der Magen sind eingezeichnet.
Koerper,Heart Septum,"Illustration of a heart. The two heart chambers are visible, as well as the wall between them. Two arrows point to them.",https://www.lag-sb-rlp.de/images/phocagallery/thumbs/phoca_thumb_l_herz-wand-herzscheidewand-cmyk.jpg,"Cartoon picture of Heart Septum - Illustration of a heart. The two heart chambers are visible, as well as the wall between them. Two arrows point to them.",Herzscheidewand,Abbildung von einem Herzen. Die beiden Herzkammern sind zusehen und die Wand dazwischen. Zwei Pfeile deuten auf sie.
Koerper,Sternum,"Depicted is a red-haired man with a beard. His ribcage and vertebrae are seen in three-dimensional form. The emphasis is on the sternum, which is clearly visible in contrast to the ribs and vertebrae.",https://www.lag-sb-rlp.de/images/phocagallery/thumbs/phoca_thumb_l_brustbein-2.jpg,"Cartoon picture of Sternum - Depicted is a red-haired man with a beard. His ribcage and vertebrae are seen in three-dimensional form. The emphasis is on the sternum, which is clearly visible in contrast to the ribs and vertebrae.",Brustbein,"Abgebildet ist ein rothaariger Mann mit Bart. Sein Brustkorb und die Wirbel sind ist in dreidimenisonaler Form zu sehen. Der Akzent liegt dabei auf dem Brustbein, das im Gegesatz zum Brustkotb und zu der Wirbel deutlich zu erkennen ist."
Koerper,Bacteria,"Illustration of two different elongated, green bacteria.",https://www.lag-sb-rlp.de/images/phocagallery/thumbs/phoca_thumb_l_bakterien-cmyk.jpg,"Cartoon picture of Bacteria - Illustration of two different elongated, green bacteria.",Bakterien,"Abbildung von zwei verschiedenen laenglichen, gruenen Bakterien."
Gefuehle,Security,Depicted are a woman and a man lovingly embracing a child.,https://www.lag-sb-rlp.de/images/phocagallery/Gefuehle/thumbs/phoca_thumb_l_geborgenheit-cmyk.jpg,Cartoon picture of Security - Depicted are a woman and a man lovingly embracing a child.,Geborgenheit,"Abgebildet sind eine Frau und ein Mann, die ein Kind liebevoll umarmen."
Gefuehle,Self-love,Depicted is a dark-haired young lady looking into a mirror and hugging herself.,https://www.lag-sb-rlp.de/images/phocagallery/thumbs/phoca_thumb_l_selbstliebe.jpg,Cartoon picture of Self-love - Depicted is a dark-haired young lady looking into a mirror and hugging herself.,Selbstliebe,"Abgebildet ist eine dunkelhaarige junge Dame, die in einen Spiegel schaut und sich selbst umarmt. "
Gefuehle,Panic Attack,"Depicted is a woman with her mouth open and eyes squinted. She holds her hands to her face. She has sweat on her forehead and red cheeks, as well as red spots on her neck.",https://www.lag-sb-rlp.de/images/phocagallery/Gefuehle/thumbs/phoca_thumb_l_panik-cmyk.jpg,"Cartoon picture of Panic Attack - Depicted is a woman with her mouth open and eyes squinted. She holds her hands to her face. She has sweat on her forehead and red cheeks, as well as red spots on her neck.",Panikattacke,"Abgebildet ist eine Frau, die den Mund offen und die Augen zusammengekniffen hat. Ihre Haende haelt sie am Gesicht. Sie hat Schweiss auf der Stirn und rote Wangen, sowie rote Flecken am Hals."
Gefuehle,Despair,"A woman covers her face with both hands. She cries heavily, tears running down her hands.",https://www.lag-sb-rlp.de/images/phocagallery/Faehigkeiten/thumbs/phoca_thumb_l_c98-verzweiflung-cmyk.jpg,"Cartoon picture of Despair - A woman covers her face with both hands. She cries heavily, tears running down her hands.",Verzweiflung,"Eine Frau haelt sich beide Haende vor ihr Gesicht. Sie weint stark, Traenen laufen die Haende entlang."
Gefuehle,Fear,A woman covers her mouth with both hands. Her eyes and mouth are wide open. Sweat runs down her forehead.,https://www.lag-sb-rlp.de/images/phocagallery/Faehigkeiten/thumbs/phoca_thumb_l_c15-angst-cmyk.jpg,Cartoon picture of Fear - A woman covers her mouth with both hands. Her eyes and mouth are wide open. Sweat runs down her forehead.,Angst,Eine Frau haelt sich beide Haende vor den Mund. Ihre Augen und der Mund sind weit geoeffnet. Schweiss laeuft ihr die Stirn herunter.
